4000
Atoms. Timestep: 0
1 4.9443 19.2911 5.58789
1 8.04507 18.934 4.2203
1 13.3047 22.0409 4.3048
1 10.2013 16.6876 4.40058
1 15.9445 19.719 -0.231224
1 11.8778 18.517 8.07428
1 7.79383 18.51 -0.32903
1 11.8088 19.957 5.89805
1 14.7373 20.5971 7.78643
1 11.2414 18.6232 1.26997
1 8.44144 14.5536 7.25533
1 6.30775 24.1746 -0.937896
1 9.41234 19.0247 3.74807
1 14.086 19.7467 6.83851
1 10.893 17.9409 0.0946388
1 8.48306 17.4647 0.377814
1 15.3723 18.557 0.364928
1 10.9023 14.845 6.73317
1 13.2221 20.276 5.85699
1 9.52257 14.6522 6.28458
1 14.5912 18.563 1.55065
1 7.69489 24.1203 -1.20059
1 13.8165 17.3819 1.99316
1 7.18095 16.4127 8.53899
1 8.24592 23.6328 -2.41997
1 17.6139 15.3026 5.52603
1 18.1112 14.257 0.165579
1 19.7973 17.0137 1.25974
1 13.61 19.903 3.51968
1 20.5794 16.0612 0.441933
1 20.7702 16.5063 7.0611
1 15.7176 21.0548 0.3188
1 19.0065 15.2678 5.64121
1 20.4617 19.0596 0.0201583
1 22.2156 20.44 1.83427
1 14.1524 16.0633 1.48515
1 23.5382 19.278 -1.1149
1 20.5522 21.6329 7.97532
1 14.7886 21.1622 1.50565
1 20.0102 18.4746 1.21314
1 19.0234 18.9291 3.49631
1 20.5935 14.589 0.649831
1 16.2905 17.1529 6.71633
1 14.3054 19.8337 2.24654
1 16.7867 15.782 6.67199
1 20.0712 19.2481 2.50806
1 19.4116 13.7546 0.528514
1 20.185 20.4921 -0.345061
1 23.9968 18.2924 -0.200293
1 13.1554 17.3539 4.42588
1 21.2674 20.4523 8.52369
1 14.9422 17.4065 6.27329
1 23.4881 18.2597 1.156
1 21.1973 21.4931 -0.245501
1 22.9606 17.0335 1.68791
1 14.4352 16.986 4.94341
1 21.14 22.7309 -1.12875
1 21.401 20.6637 5.19906
1 24.9509 15.1411 -2.02139
1 23.9563 18.5579 3.99742
1 20.524 22.535 3.69804
1 23.8327 15.8008 1.58132
1 27.4281 21.3062 7.46766
1 24.4252 19.9624 -2.08171
1 24.1644 15.8653 5.75552
1 22.122 19.5137 5.45672
1 28.189 20.9696 4.65412
1 21.7837 16.9592 2.52726
1 31.1732 21.6778 0.498469
1 24.9297 18.5815 6.34676
1 25.8075 20.1556 -1.91631
1 26.3003 19.3157 4.34759
1 26.8518 19.0358 3.03419
1 24.0266 15.0749 0.367646
1 22.5283 18.6874 4.30853
1 20.9065 21.1447 3.92946
1 24.9975 18.7971 4.87592
1 26.8112 20.3257 6.65227
1 24.6855 15.8386 -0.780592
1 23.4034 19.4858 1.87976
1 31.0383 18.3908 0.978485
1 21.5288 17.8847 3.61514
1 27.1084 20.2049 5.27433
1 22.0954 16.0725 7.35804
1 30.5879 17.1435 1.57365
1 26.4538 20.4542 -0.661511
1 29.2156 17.0091 1.9979
1 19.772 15.3352 6.81605
1 27.8459 20.9073 -0.554379
1 33.4348 17.4663 0.643904
1 31.5521 16.0669 1.6195
1 32.0186 16.645 5.16834
1 28.6982 20.6797 3.27863
1 32.9462 16.18 1.11701
1 38.717 19.6415 9.39398
1 30.3234 20.9486 1.32065
1 33.3024 15.5464 8.33019
1 32.5463 18.5897 0.552425
1 38.4056 20.982 6.7216
1 28.2193 16.3566 1.14597
1 35.5198 18.8152 0.201696
1 32.4251 18.9307 6.05578
1 30.0001 19.5477 0.9844
1 31.0072 15.8055 4.64043
1 38.1616 21.6752 7.99362
1 33.7305 15.0099 0.849009
1 33.0549 14.2267 7.73766
1 28.7034 19.2301 1.29175
1 31.2408 14.6194 3.77596
1 38.0777 20.9472 9.24736
1 35.1577 14.949 1.0006
1 33.001 19.8318 -0.158833
1 34.8407 17.6023 0.298889
1 32.0437 14.109 6.71806
1 31.9146 13.4067 4.30796
1 32.1298 13.2093 5.69399
1 35.8575 15.6704 2.075
1 33.4515 21.019 0.533607
1 35.4158 15.8206 3.38234
1 26.1096 18.752 8.62373
1 34.7832 21.0315 1.33595
1 0.628746 26.2118 4.98403
1 2.15061 25.6194 -1.25965
1 3.0457 28.0466 4.1734
1 -0.372145 29.8066 7.9167
1 3.00056 26.6658 3.97602
1 7.49659 26.9158 7.63182
1 -0.809536 25.7275 0.877471
1 0.878455 23.1715 7.80155
1 2.72067 28.9807 3.09217
1 8.09569 30.5772 4.77924
1 0.894217 23.9591 5.42101
1 5.77151 27.8133 -0.0153459
1 7.62181 31.5064 9.90631
1 -0.24054 26.0897 2.20586
1 7.61382 26.2768 3.69936
1 7.25082 26.9018 2.45705
1 4.40813 26.5831 -1.8636
1 0.0497146 24.3247 8.23564
1 0.695366 30.1872 4.12186
1 0.18024 25.1668 5.88578
1 3.22192 27.8906 6.72572
1 3.48697 25.4311 -1.74078
1 1.93226 30.2307 3.31235
1 4.51832 27.6368 -0.864049
1 -0.173345 25.3304 7.22578
1 3.48277 28.5693 5.44844
1 -0.365123 24.5081 9.58498
1 5.28354 23.4898 -1.72197
1 2.25893 31.4763 2.56012
